,Drug_name,Disease,Generic_name,Brand_names,Drug_class,Rx_OTC,Pregnancy,CSA,Alcohol
109,Dolono,ACL Injury (Muscle Pain),acetaminophen systemic, Zipsor,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
110,Dolono,ACL Injury (Muscle Pain),acetaminophen systemic, Lofena,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
111,Mapap,ACL Injury (Muscle Pain),acetaminophen systemic,Voltaren,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
112,Mapap,ACL Injury (Muscle Pain),acetaminophen systemic, Cataflam,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
113,Mapap,ACL Injury (Muscle Pain),acetaminophen systemic, Zipsor,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
114,Mapap,ACL Injury (Muscle Pain),acetaminophen systemic, Lofena,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
115,Abenol,ACL Injury (Muscle Pain),acetaminophen systemic,Voltaren,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
116,Abenol,ACL Injury (Muscle Pain),acetaminophen systemic, Cataflam,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
117,Abenol,ACL Injury (Muscle Pain),acetaminophen systemic, Zipsor,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
118,Abenol,ACL Injury (Muscle Pain),acetaminophen systemic, Lofena,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
119,IBU-200,ACL Injury (Muscle Pain),ibuprofen systemic,Voltaren,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
120,IBU-200,ACL Injury (Muscle Pain),ibuprofen systemic, Cataflam,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
121,IBU-200,ACL Injury (Muscle Pain),ibuprofen systemic, Zipsor,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
122,IBU-200,ACL Injury (Muscle Pain),ibuprofen systemic, Lofena,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
123,Motrin IB,ACL Injury (Muscle Pain),ibuprofen systemic,Voltaren,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
124,Motrin IB,ACL Injury (Muscle Pain),ibuprofen systemic, Cataflam,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
125,Motrin IB,ACL Injury (Muscle Pain),ibuprofen systemic, Zipsor,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
126,Motrin IB,ACL Injury (Muscle Pain),ibuprofen systemic, Lofena,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
127,Naprelan,ACL Injury (Muscle Pain),naproxen systemic,Voltaren,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
128,Naprelan,ACL Injury (Muscle Pain),naproxen systemic, Cataflam,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
129,Naprelan,ACL Injury (Muscle Pain),naproxen systemic, Zipsor,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
130,Naprelan,ACL Injury (Muscle Pain),naproxen systemic, Lofena,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
131,Zipsor,ACL Injury (Muscle Pain),diclofenac systemic,Voltaren,Nonsteroidal anti-inflammatory drugs ,Available by prescription only,Pregnancy Category D: Positive evidence of risk,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
132,Zipsor,ACL Injury (Muscle Pain),diclofenac systemic, Cataflam,Nonsteroidal anti-inflammatory drugs ,Available by prescription only,Pregnancy Category D: Positive evidence of risk,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
133,Zipsor,ACL Injury (Muscle Pain),diclofenac systemic, Zipsor,Nonsteroidal anti-inflammatory drugs ,Available by prescription only,Pregnancy Category D: Positive evidence of risk,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
134,Zipsor,ACL Injury (Muscle Pain),diclofenac systemic, Lofena,Nonsteroidal anti-inflammatory drugs ,Available by prescription only,Pregnancy Category D: Positive evidence of risk,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
135,A-G Profen,ACL Injury (Muscle Pain),ibuprofen systemic,Voltaren,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
136,A-G Profen,ACL Injury (Muscle Pain),ibuprofen systemic, Cataflam,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
137,A-G Profen,ACL Injury (Muscle Pain),ibuprofen systemic, Zipsor,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
138,A-G Profen,ACL Injury (Muscle Pain),ibuprofen systemic, Lofena,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
139,Acephen,ACL Injury (Muscle Pain),acetaminophen systemic,Voltaren,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
140,Acephen,ACL Injury (Muscle Pain),acetaminophen systemic, Cataflam,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
141,Acephen,ACL Injury (Muscle Pain),acetaminophen systemic, Zipsor,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
142,Acephen,ACL Injury (Muscle Pain),acetaminophen systemic, Lofena,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
143,Actamin,ACL Injury (Muscle Pain),acetaminophen systemic,Voltaren,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
144,Actamin,ACL Injury (Muscle Pain),acetaminophen systemic, Cataflam,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
145,Actamin,ACL Injury (Muscle Pain),acetaminophen systemic, Zipsor,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
146,Actamin,ACL Injury (Muscle Pain),acetaminophen systemic, Lofena,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
147,Actimol Children's,ACL Injury (Muscle Pain),acetaminophen systemic,Voltaren,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
148,Actimol Children's,ACL Injury (Muscle Pain),acetaminophen systemic, Cataflam,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
149,Actimol Children's,ACL Injury (Muscle Pain),acetaminophen systemic, Zipsor,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
150,Actimol Children's,ACL Injury (Muscle Pain),acetaminophen systemic, Lofena,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
151,Altenol,ACL Injury (Muscle Pain),acetaminophen systemic,Voltaren,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
152,Altenol,ACL Injury (Muscle Pain),acetaminophen systemic, Cataflam,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
153,Altenol,ACL Injury (Muscle Pain),acetaminophen systemic, Zipsor,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
154,Altenol,ACL Injury (Muscle Pain),acetaminophen systemic, Lofena,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
155,Aminofen,ACL Injury (Muscle Pain),acetaminophen systemic,Voltaren,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
156,Aminofen,ACL Injury (Muscle Pain),acetaminophen systemic, Cataflam,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
157,Aminofen,ACL Injury (Muscle Pain),acetaminophen systemic, Zipsor,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
158,Aminofen,ACL Injury (Muscle Pain),acetaminophen systemic, Lofena,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
159,Anacin Aspirin Free,ACL Injury (Muscle Pain),acetaminophen systemic,Voltaren,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
160,Anacin Aspirin Free,ACL Injury (Muscle Pain),acetaminophen systemic, Cataflam,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
161,Anacin Aspirin Free,ACL Injury (Muscle Pain),acetaminophen systemic, Zipsor,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
162,Anacin Aspirin Free,ACL Injury (Muscle Pain),acetaminophen systemic, Lofena,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
163,Apra,ACL Injury (Muscle Pain),acetaminophen systemic,Voltaren,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
164,Apra,ACL Injury (Muscle Pain),acetaminophen systemic, Cataflam,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
165,Apra,ACL Injury (Muscle Pain),acetaminophen systemic, Zipsor,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
166,Apra,ACL Injury (Muscle Pain),acetaminophen systemic, Lofena,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
167,Atasol,ACL Injury (Muscle Pain),acetaminophen systemic,Voltaren,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
168,Atasol,ACL Injury (Muscle Pain),acetaminophen systemic, Cataflam,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
169,Atasol,ACL Injury (Muscle Pain),acetaminophen systemic, Zipsor,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
170,Atasol,ACL Injury (Muscle Pain),acetaminophen systemic, Lofena,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
171,Cetafen,ACL Injury (Muscle Pain),acetaminophen systemic,Voltaren,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
172,Cetafen,ACL Injury (Muscle Pain),acetaminophen systemic, Cataflam,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
173,Cetafen,ACL Injury (Muscle Pain),acetaminophen systemic, Zipsor,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
174,Cetafen,ACL Injury (Muscle Pain),acetaminophen systemic, Lofena,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
175,Febrol Solution,ACL Injury (Muscle Pain),acetaminophen systemic,Voltaren,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
176,Febrol Solution,ACL Injury (Muscle Pain),acetaminophen systemic, Cataflam,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
177,Febrol Solution,ACL Injury (Muscle Pain),acetaminophen systemic, Zipsor,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
178,Febrol Solution,ACL Injury (Muscle Pain),acetaminophen systemic, Lofena,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
179,Feverall,ACL Injury (Muscle Pain),acetaminophen systemic,Voltaren,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
180,Feverall,ACL Injury (Muscle Pain),acetaminophen systemic, Cataflam,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
181,Feverall,ACL Injury (Muscle Pain),acetaminophen systemic, Zipsor,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
182,Feverall,ACL Injury (Muscle Pain),acetaminophen systemic, Lofena,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
183,Genapap,ACL Injury (Muscle Pain),acetaminophen systemic,Voltaren,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
184,Genapap,ACL Injury (Muscle Pain),acetaminophen systemic, Cataflam,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
185,Genapap,ACL Injury (Muscle Pain),acetaminophen systemic, Zipsor,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
186,Genapap,ACL Injury (Muscle Pain),acetaminophen systemic, Lofena,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
187,Genebs,ACL Injury (Muscle Pain),acetaminophen systemic,Voltaren,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
188,Genebs,ACL Injury (Muscle Pain),acetaminophen systemic, Cataflam,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
189,Genebs,ACL Injury (Muscle Pain),acetaminophen systemic, Zipsor,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
190,Genebs,ACL Injury (Muscle Pain),acetaminophen systemic, Lofena,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
191,Mapap Arthritis Pain,ACL Injury (Muscle Pain),acetaminophen systemic,Voltaren,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
192,Mapap Arthritis Pain,ACL Injury (Muscle Pain),acetaminophen systemic, Cataflam,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
193,Mapap Arthritis Pain,ACL Injury (Muscle Pain),acetaminophen systemic, Zipsor,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
194,Mapap Arthritis Pain,ACL Injury (Muscle Pain),acetaminophen systemic, Lofena,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
195,Nuprin,ACL Injury (Muscle Pain),ibuprofen systemic,Voltaren,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
196,Nuprin,ACL Injury (Muscle Pain),ibuprofen systemic, Cataflam,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
197,Nuprin,ACL Injury (Muscle Pain),ibuprofen systemic, Zipsor,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
198,Nuprin,ACL Injury (Muscle Pain),ibuprofen systemic, Lofena,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
199,Pharbetol,ACL Injury (Muscle Pain),acetaminophen systemic,Voltaren,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
200,Pharbetol,ACL Injury (Muscle Pain),acetaminophen systemic, Cataflam,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
201,Pharbetol,ACL Injury (Muscle Pain),acetaminophen systemic, Zipsor,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
202,Pharbetol,ACL Injury (Muscle Pain),acetaminophen systemic, Lofena,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
203,Proprinal,ACL Injury (Muscle Pain),ibuprofen systemic,Voltaren,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
204,Proprinal,ACL Injury (Muscle Pain),ibuprofen systemic, Cataflam,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
205,Proprinal,ACL Injury (Muscle Pain),ibuprofen systemic, Zipsor,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
206,Proprinal,ACL Injury (Muscle Pain),ibuprofen systemic, Lofena,Nonsteroidal anti-inflammatory drugs ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
207,Tactinal,ACL Injury (Muscle Pain),acetaminophen systemic,Voltaren,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
208,Tactinal,ACL Injury (Muscle Pain),acetaminophen systemic, Cataflam,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
209,Tactinal,ACL Injury (Muscle Pain),acetaminophen systemic, Zipsor,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
210,Tactinal,ACL Injury (Muscle Pain),acetaminophen systemic, Lofena,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
211,Tempra Quicklets,ACL Injury (Muscle Pain),acetaminophen systemic,Voltaren,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
212,Tempra Quicklets,ACL Injury (Muscle Pain),acetaminophen systemic, Cataflam,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
213,Tempra Quicklets,ACL Injury (Muscle Pain),acetaminophen systemic, Zipsor,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
214,Tempra Quicklets,ACL Injury (Muscle Pain),acetaminophen systemic, Lofena,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
215,Tycolene,ACL Injury (Muscle Pain),acetaminophen systemic,Voltaren,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
216,Tycolene,ACL Injury (Muscle Pain),acetaminophen systemic, Cataflam,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
217,Tycolene,ACL Injury (Muscle Pain),acetaminophen systemic, Zipsor,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
218,Tycolene,ACL Injury (Muscle Pain),acetaminophen systemic, Lofena,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
219,Tylophen,ACL Injury (Muscle Pain),acetaminophen systemic,Voltaren,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
220,Tylophen,ACL Injury (Muscle Pain),acetaminophen systemic, Cataflam,miscellaneous analgesics ,Available by prescription or over-the-counter,Pregnancy Category C: Risk cannot be ruled out,Drug is not subject to the Controlled Substances Act of 1970.,Interacts with Alcohol
